timestamp_begin,timestamp_end,response_time,total_calls,ENDPOINT_1,ENDPOINT_2,ENDPOINT_3,ENDPOINT_4,ENDPOINT_5,ENDPOINT_6,ENDPOINT_7,ENDPOINT_8,ENDPOINT_9,ENDPOINT_10,ENDPOINT_11,ENDPOINT_12,ENDPOINT_13,ENDPOINT_14,ENDPOINT_15,ENDPOINT_16,ENDPOINT_17,ENDPOINT_18,ENDPOINT_19,ENDPOINT_20,ENDPOINT_21,ENDPOINT_22,ENDPOINT_23,cpu_app,memory_app,cpu_db,memory_db,rows_fetched,rows_returned,db_commits
1701883633,1701883693,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9937,23.9053,2.8506133333333334,62.31632500000001,8685.1158,18426.4955,18.7213
1701883693,1701883753,2.175,40,2,3,0,2,2,2,2,2,2,2,2,2,2,1,2,1,1,3,2,2,1,2,0,27.8823,23.9241,11.575421666666669,59.187075,66423.4229,110405.6842,124.8873
1701883753,1701883813,4.264150943396227,53,4,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,3,3,0,4,1,40.6053,23.9471,36.181979999999996,60.48646333333334,91760.3401,149335.2046,123.2066
1701883813,1701883873,6.309859154929577,71,4,4,0,4,4,4,4,4,4,4,4,4,4,2,2,2,2,2,2,5,0,6,0,46.1338,23.9649,42.003386666666664,61.638828333333336,86293.9086,141832.0917,150.5085
1701883873,1701883933,9.773333333333333,75,3,4,0,3,3,3,3,3,3,3,3,3,3,3,4,3,4,7,5,6,1,5,0,45.79,23.9872,42.18083833333332,62.55303666666665,74604.1509,121171.455,140.2565
1701883933,1701883993,12.112676056338028,71,3,6,1,3,3,3,3,2,2,2,2,2,2,3,5,2,2,7,5,5,2,5,1,44.1338,23.9879,37.59682500000001,64.47553833333335,90637.0288,146934.5262,135.0934
1701883993,1701884053,12.602941176470589,68,3,6,2,3,3,3,4,4,3,3,3,3,3,1,1,0,0,5,5,5,0,6,2,49.3832,24.0091,38.56517166666667,64.75760999999997,80904.5686,127331.1904,141.9888
1701884053,1701884113,12.233766233766234,77,1,3,0,3,3,3,3,3,4,4,4,4,4,3,5,4,4,6,3,7,1,4,1,42.8571,24.0158,39.73485499999999,64.89774833333334,92364.2832,146596.4528,132.826
1701884113,1701884173,14.88888888888889,45,2,4,1,2,2,2,1,1,1,1,0,0,0,2,3,2,2,5,4,4,2,3,1,38.3747,24.0207,40.09363166666667,65.918025,76530.5336,129487.6419,135.9549
1701884173,1701884233,13.333333333333334,69,4,7,2,2,2,2,2,2,2,2,2,3,3,2,3,3,3,6,4,5,1,5,2,50.3899,24.036,36.198434999999996,65.96585,79913.6069,134953.6543,137.8093
1701884233,1701884293,13.582089552238806,67,3,3,0,5,3,3,3,3,2,2,3,3,3,3,3,3,2,5,3,6,0,6,0,49.8632,24.1512,41.81446333333333,64.83228000000004,79333.954,134965.9934,145.3835
1701884293,1701884353,11.865671641791044,67,2,3,0,2,2,3,3,3,3,3,4,4,4,4,4,3,3,4,3,7,0,3,0,49.184,23.892,44.23349666666665,65.77948333333335,101487.4025,151338.4557,146.832
1701884353,1701884413,11.923076923076923,78,1,4,0,3,3,3,3,3,3,3,3,3,3,3,5,4,4,8,7,6,2,4,0,39.3269,23.8641,38.58095333333333,65.46462666666667,53395.8725,96560.1424,140.4473
1701884413,1701884473,14.144927536231885,69,5,5,2,1,1,1,1,1,1,1,1,1,1,3,4,3,5,12,9,4,1,4,2,44.4952,23.9001,31.07014833333334,65.92154500000001,91115.7635,146826.8976,121.2724
1701884473,1701884533,14.596153846153847,52,3,6,0,3,3,3,3,2,2,1,1,1,1,0,1,0,0,6,7,2,1,6,0,36.2976,23.921,38.233593333333346,64.54684333333334,74798.802,121441.2041,135.4793
1701884533,1701884593,12.270588235294118,85,4,8,2,3,3,3,3,3,4,4,4,5,5,1,4,2,2,4,4,6,2,7,2,51.1863,23.9329,43.64874666666666,66.360775,84007.5814,127883.7529,145.4918
1701884593,1701884653,14.036585365853659,82,1,1,0,4,4,4,4,4,4,4,4,4,4,5,4,3,3,7,4,9,1,4,0,47.1869,23.9096,37.87556833333334,66.16141666666665,103503.9603,162905.6963,128.9688
1701884653,1701884713,15.862745098039216,51,3,5,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,8,6,5,1,3,1,41.635,23.9021,40.56322333333335,64.73532166666665,56804.4958,112568.6364,141.7584
1701884713,1701884773,13.25,84,2,4,1,3,3,3,3,3,2,2,2,2,2,5,7,5,5,10,6,7,2,4,1,50.3423,23.9124,31.15555666666667,66.61589000000002,98461.8173,135200.2378,131.328
1701884773,1701884833,13.216666666666667,60,3,6,1,2,1,1,1,2,2,2,2,2,2,2,2,1,1,8,9,4,2,3,1,37.6817,23.9209,37.45913333333333,65.01732666666666,72135.2771,125450.9156,132.4787
